species_variant,n_genes,n_transcripts,no_cds,checked,frame_fail,no_start_atg,no_terminal_stop,internal_stop,fully_consistent,pct_fully_consistent,duplicate_transcripts,genes_with_duplicates,mean_isoforms_per_gene
S_bicolor_REF,32160,44210,0,44210,0,162,113,0,43938,99.38,26,25,1.375
S_bicolor_transgenic160M,32068,34439,0,34439,20505,14586,24930,27091,2707,7.86,1456,337,1.074
S_bicolor_transgenic160M_prompt_denovo,31823,33747,0,33747,18134,6876,14813,23282,4637,13.74,1346,70,1.06
S_bicolor_transgenic160Mprompt,32119,35745,0,35745,918,651,498,1007,34299,95.95,1284,90,1.113
S_bicolor_transgenic400M,31842,33632,0,33632,18200,7091,14881,23347,4643,13.81,703,178,1.056
S_bicolor_transgenic400M_prompt_denovo,31823,33029,0,33029,17891,6735,14197,22809,4659,14.11,488,41,1.038
S_bicolor_transgenic400Mprompt,32117,35716,0,35716,690,318,298,726,34515,96.64,1062,55,1.112
S_italica_REF,34584,43001,0,43001,1,384,247,0,42378,98.55,4,4,1.243
S_italica_transgenic160M,34523,35939,0,35939,20454,15523,25828,28143,3274,9.11,843,208,1.041
S_italica_transgenic160M_prompt_denovo,34497,47658,0,47658,27614,20649,34394,35805,4093,8.59,5601,500,1.382
S_italica_transgenic160Mprompt,34556,36964,0,36964,310,593,424,595,35694,96.56,1084,45,1.07
S_italica_transgenic400M,34510,35079,0,35079,17170,4377,10533,21244,8939,25.48,195,84,1.016
S_italica_transgenic400M_prompt_denovo,34488,40340,0,40340,20148,5500,12280,24030,9917,24.58,1380,747,1.17
S_italica_transgenic400Mprompt,34562,36283,0,36283,290,481,445,336,35229,97.1,261,26,1.05
S_lycopersicum_REF,36648,43752,0,43752,0,2711,484,0,40660,92.93,7104,3808,1.194
S_lycopersicum_transgenic160M,36145,40093,0,40088,20852,24924,33033,35159,1578,3.94,2070,721,1.109
S_lycopersicum_transgenic160M_prompt_denovo,72285,99053,0,99045,54151,62362,81791,85927,3280,3.31,13248,1178,1.37
S_lycopersicum_transgenic160Mprompt,49856,60292,0,60292,2669,5301,2400,3201,52111,86.43,8198,308,1.209
S_lycopersicum_transgenic400M,36234,38724,0,38719,19058,9093,19138,29857,4711,12.17,1024,342,1.069
S_lycopersicum_transgenic400M_prompt_denovo,72431,91531,0,91523,46762,23563,46112,70158,10226,11.17,9404,2242,1.264
S_lycopersicum_transgenic400Mprompt,47900,51723,0,51723,1472,4097,1119,1650,46046,89.02,1980,97,1.08
V_vinifera_REF,47971,48974,0,48974,22,18,1005,32,47935,97.88,0,0,1.021
V_vinifera_transgenic160M,47467,51616,0,51616,22815,33138,43373,45394,1941,3.76,2250,810,1.087
V_vinifera_transgenic160M_prompt_denovo,47393,62371,0,62371,30143,39949,52749,54554,2009,3.22,5831,700,1.316
V_vinifera_transgenic160Mprompt,39782,44531,0,44531,1467,849,1833,1983,41432,93.04,3161,104,1.119
V_vinifera_transgenic400M,47315,49367,0,49367,19642,12297,27562,37684,6487,13.14,665,311,1.043
V_vinifera_transgenic400M_prompt_denovo,47260,57540,0,57540,24826,15127,32208,43705,6880,11.96,2743,917,1.218
V_vinifera_transgenic400Mprompt,39803,42552,0,42552,1270,654,1390,1841,39681,93.25,968,51,1.069
Z_mays_REF,39324,131318,0,131318,0,813,3100,0,127417,97.03,0,0,3.339
Z_mays_transgenic160M,38909,42383,0,42383,24029,20625,31057,33884,4174,9.85,2048,705,1.089
Z_mays_transgenic160M_prompt_denovo,38922,56702,0,56702,33062,27842,41894,44300,4926,8.69,9344,709,1.457
Z_mays_transgenic160Mprompt,39099,55560,0,55560,3909,3039,3232,5206,48008,86.41,9386,344,1.421
Z_mays_transgenic400M,38991,41135,0,41135,20476,7003,14270,26661,9775,23.76,1006,317,1.055
Z_mays_transgenic400M_prompt_denovo,38946,46172,0,46172,23529,9202,16302,28988,10386,22.49,2404,933,1.186
Z_mays_transgenic400Mprompt,117009,152898,0,152898,8760,4374,7173,9750,137685,90.05,13806,546,1.307
