species_variant,genes_linked,genes_unlinked,transcripts_compared,TSS_exact_pct,TSS_within50_pct,TSS_within100_pct,TSS_median_delta,TES_exact_pct,TES_within50_pct,TES_within100_pct,TES_median_delta
S_italica_transgenic400Mprompt,34555,7,36276,97.67,99.44,99.54,0,97.6,98.67,98.78,0
S_lycopersicum_transgenic160M,36141,4,40089,5.02,34.05,49.03,105,4.27,33.88,48.86,106
S_lycopersicum_transgenic160M_prompt_denovo,0,72285,0,0.0,0.0,0.0,,0.0,0.0,0.0,
S_lycopersicum_transgenic160Mprompt,49852,4,60288,89.47,91.8,92.42,0,85.2,87.94,88.41,0
S_lycopersicum_transgenic400M,36233,1,38723,11.66,36.5,51.07,96,10.64,35.67,50.32,99
S_lycopersicum_transgenic400M_prompt_denovo,0,72431,0,0.0,0.0,0.0,,0.0,0.0,0.0,
S_lycopersicum_transgenic400Mprompt,47900,0,51723,94.86,96.17,96.39,0,92.65,95.63,95.86,0
V_vinifera_transgenic160M,47367,100,45157,5.12,29.74,42.83,140,4.16,29.49,42.19,145
V_vinifera_transgenic160M_prompt_denovo,0,47393,0,0.0,0.0,0.0,,0.0,0.0,0.0,
V_vinifera_transgenic160Mprompt,39780,2,44529,90.74,92.43,93.56,0,89.94,92.15,92.51,0
V_vinifera_transgenic400M,47314,1,43042,12.94,33.42,45.67,123,11.83,32.9,44.95,128
V_vinifera_transgenic400M_prompt_denovo,0,47260,0,0.0,0.0,0.0,,0.0,0.0,0.0,
V_vinifera_transgenic400Mprompt,39784,19,42533,94.36,95.52,96.29,0,94.23,95.8,96.06,0
Z_mays_transgenic160M,38888,21,42362,8.67,45.28,59.21,64,7.92,44.26,57.69,68
Z_mays_transgenic160M_prompt_denovo,0,38922,0,0.0,0.0,0.0,,0.0,0.0,0.0,
Z_mays_transgenic160Mprompt,39003,96,55464,83.26,91.14,93.38,0,80.56,87.97,90.06,0
Z_mays_transgenic400M,38991,0,41135,15.96,49.56,63.45,52,15.44,48.55,62.29,54
Z_mays_transgenic400M_prompt_denovo,0,38946,0,0.0,0.0,0.0,,0.0,0.0,0.0,
Z_mays_transgenic400Mprompt,117003,6,152892,87.58,94.01,95.16,0,86.56,93.26,94.12,0
