Species,Prediction set,Transcripts (n),Checked (n),Frame failure (n),No ATG start (n),No terminal stop (n),Internal stop (n),Fully consistent (n),Fully consistent (%),Duplicate transcripts (n),Mean isoforms per gene
Vitis vinifera,"TransGenic 400M, de novo",49367,49367,19642,12297,27562,37684,6487,13.14,665,1.043
Vitis vinifera,"TransGenic 400M, reference-prompted",42552,42552,1270,654,1390,1841,39681,93.25,968,1.069
Vitis vinifera,"TransGenic 400M, self-prompted",57540,57540,24826,15127,32208,43705,6880,11.96,2743,1.218
Zea mays,Reference annotation,131318,131318,0,813,3100,0,127417,97.03,0,3.339
Zea mays,"TransGenic 160M, de novo",42383,42383,24029,20625,31057,33884,4174,9.85,2048,1.089
Zea mays,"TransGenic 160M, reference-prompted",55560,55560,3909,3039,3232,5206,48008,86.41,9386,1.421
Zea mays,"TransGenic 160M, self-prompted",56702,56702,33062,27842,41894,44300,4926,8.69,9344,1.457
Zea mays,"TransGenic 400M, de novo",41135,41135,20476,7003,14270,26661,9775,23.76,1006,1.055
Zea mays,"TransGenic 400M, reference-prompted",152898,152898,8760,4374,7173,9750,137685,90.05,13806,1.307
Zea mays,"TransGenic 400M, self-prompted",46172,46172,23529,9202,16302,28988,10386,22.49,2404,1.186
