Species,Prediction set,Transcripts compared (n),TSS exact (%),TSS ±50 nt (%),TSS ±100 nt (%),TSS median offset (nt),TES exact (%),TES ±50 nt (%),TES ±100 nt (%),TES median offset (nt)
Populus trichocarpa,"TransGenic 160M, reference-prompted",43771,87.9,94.31,95.16,0,86.33,93.35,94.63,0
Populus trichocarpa,"TransGenic 400M, de novo",36100,5.26,50.47,68.63,50,4.9,50.28,68.55,50
Populus trichocarpa,"TransGenic 400M, reference-prompted",81824,90.7,96.97,97.9,0,88.83,95.66,97.23,0
Sorghum bicolor,"TransGenic 160M, de novo",34437,2.71,47.37,65.59,55,2.34,47.09,64.72,57
Sorghum bicolor,"TransGenic 160M, reference-prompted",35745,94.26,98.14,98.7,0,93.51,97.21,97.67,0
Sorghum bicolor,"TransGenic 400M, de novo",33631,4.03,35.07,50.95,97,3.71,34.76,50.5,99
Sorghum bicolor,"TransGenic 400M, reference-prompted",35716,94.72,97.69,98.16,0,93.13,96.75,97.72,0
Setaria italica,"TransGenic 160M, de novo",35939,6.79,48.17,63.9,55,5.65,47.96,63.74,55
Setaria italica,"TransGenic 160M, reference-prompted",36957,96.01,97.37,97.48,0,96.78,98.0,98.11,0
Setaria italica,"TransGenic 400M, de novo",35078,14.07,52.92,68.09,44,13.18,52.93,67.92,45
Setaria italica,"TransGenic 400M, reference-prompted",36276,97.67,99.44,99.54,0,97.6,98.67,98.78,0
Solanum lycopersicum,"TransGenic 160M, de novo",40089,5.02,34.05,49.03,105,4.27,33.88,48.86,106
Solanum lycopersicum,"TransGenic 160M, reference-prompted",60288,89.47,91.8,92.42,0,85.2,87.94,88.41,0
Solanum lycopersicum,"TransGenic 400M, de novo",38723,11.66,36.5,51.07,96,10.64,35.67,50.32,99
Solanum lycopersicum,"TransGenic 400M, reference-prompted",51723,94.86,96.17,96.39,0,92.65,95.63,95.86,0
Vitis vinifera,"TransGenic 160M, de novo",45157,5.12,29.74,42.83,140,4.16,29.49,42.19,145
Vitis vinifera,"TransGenic 160M, reference-prompted",44529,90.74,92.43,93.56,0,89.94,92.15,92.51,0
Vitis vinifera,"TransGenic 400M, de novo",43042,12.94,33.42,45.67,123,11.83,32.9,44.95,128
Vitis vinifera,"TransGenic 400M, reference-prompted",42533,94.36,95.52,96.29,0,94.23,95.8,96.06,0
Zea mays,"TransGenic 160M, de novo",42362,8.67,45.28,59.21,64,7.92,44.26,57.69,68
Zea mays,"TransGenic 160M, reference-prompted",55464,83.26,91.14,93.38,0,80.56,87.97,90.06,0
Zea mays,"TransGenic 400M, de novo",41135,15.96,49.56,63.45,52,15.44,48.55,62.29,54
Zea mays,"TransGenic 400M, reference-prompted",152892,87.58,94.01,95.16,0,86.56,93.26,94.12,0
