Prediction set,Loci scored,Added structures,Matched TAIR10 alt (n),Precision vs TAIR10 alt (%),Matched AtRTD3 (n),Precision vs AtRTD3 (%),TAIR10 alt structures (n),Recall of TAIR10 alt (%)
"TransGenic 400M, reference-prompted (additions only)","27,413","1,103",200,18.1,204,18.5,"5,580",3.6
AUGUSTUS v3.5.0 posterior sampling (additions only),"25,597","43,433",574,1.3,"4,409",10.2,"5,554",10.3
