Athaliana	training/ont/Athaliana/buffer_control_PRJNA1393863	SRR36603452	evidence/training/ont/Athaliana/buffer_control_PRJNA1393863/SRR36603452.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556086	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556086.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556087	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556087.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556088	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556088.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556092	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556092.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556095	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556095.fa.gz
Athaliana	training/ont/Athaliana/ck_control_PRJNA796315	SRR17556096	evidence/training/ont/Athaliana/ck_control_PRJNA796315/SRR17556096.fa.gz
Athaliana	training/ont/Athaliana/col0_DRP009401	DRR424731	evidence/training/ont/Athaliana/col0_DRP009401/DRR424731.fa.gz
Athaliana	training/ont/Athaliana/col0_DRP009401	DRR424732	evidence/training/ont/Athaliana/col0_DRP009401/DRR424732.fa.gz
Athaliana	training/ont/Athaliana/col0_DRP009401	DRR424733	evidence/training/ont/Athaliana/col0_DRP009401/DRR424733.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807190	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807190.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807191	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807191.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807192	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807192.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807196	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807196.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807197	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807197.fa.gz
Athaliana	training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807198	evidence/training/ont/Athaliana/col0_nitrogen_PRJDB38182/DRR807198.fa.gz
Athaliana	training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232856	evidence/training/ont/Athaliana/col0_stigma_PRJNA874115/SRR21232856.fa.gz
Athaliana	training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232866	evidence/training/ont/Athaliana/col0_stigma_PRJNA874115/SRR21232866.fa.gz
Athaliana	training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232867	evidence/training/ont/Athaliana/col0_stigma_PRJNA874115/SRR21232867.fa.gz
Athaliana	training/ont/Athaliana/cui2020_PRJNA594286	SRR10611193	evidence/training/ont/Athaliana/cui2020_PRJNA594286/SRR10611193.fa.gz
Athaliana	training/ont/Athaliana/cui2020_PRJNA594286	SRR10611194	evidence/training/ont/Athaliana/cui2020_PRJNA594286/SRR10611194.fa.gz
Athaliana	training/ont/Athaliana/cui2020_PRJNA594286	SRR10611195	evidence/training/ont/Athaliana/cui2020_PRJNA594286/SRR10611195.fa.gz
Athaliana	training/ont/Athaliana/inflorescence_PRJNA596358	SRR10736515	evidence/training/ont/Athaliana/inflorescence_PRJNA596358/SRR10736515.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028259	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028259.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028260	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028260.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028261	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028261.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028266	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028266.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028277	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028277.fa.gz
Athaliana	training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028278	evidence/training/ont/Athaliana/lncrna_survey_PRJNA765684/SRR16028278.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505795	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505795.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505796	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505796.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505797	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505797.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505798	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505798.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505799	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505799.fa.gz
Athaliana	training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505800	evidence/training/ont/Athaliana/seed_flcdna_PRJNA1155260/SRR30505800.fa.gz
Athaliana	training/ont/Athaliana/wt_only_PRJNA705300	SRR13799551	evidence/training/ont/Athaliana/wt_only_PRJNA705300/SRR13799551.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876321	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876321.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876322	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876322.fa.gz
